attack_id,strike_id,date,avg_total,avg_civcas,avg_children,avg_injured
TOT1,YEM001,2002-11-03,6,0,0,0
TOT2,PAKB1,2004-06-17,7,2,2,1
TOT3,PAKB2,2005-05-08,2,0,0,0
TOT4,PAKB3,2005-11-05,8,5.5,2.5,1
TOT5,PAKB4,2005-12-01,6,2.5,2,0
TOT6,PAKB5,2006-01-13,17.5,14,5.5,0
TOT7,PAKB6,2006-10-30,82,81,69,3
TOT8,SOM001,2007-01-07,9,2,0.5,2
TOT9,SOM002,2007-01-09,7.5,0,0,4.5
TOT10,SOM003,2007-01-09,17.5,17.5,0.5,0
TOT11,PAKB7,2007-01-16,8,8,1,0
TOT12,SOM004,2007-01-23,8,0,0,0
TOT13,PAKB8,2007-04-27,3.5,3.5,0,6
TOT14,SOM005,2007-06-01,10,0,0,0
TOT15,PAKB9,2007-06-19,27,17,0,12.5
TOT16,PAKB10,2007-11-02,7.5,0,0,9
TOT17,PAKB11,2007-12-03,0,0,0,1
TOT18,PAKB12,2008-01-29,13.5,5,2.5,1.5
TOT19,PAKB13,2008-02-28,11.5,0,0,11
TOT20,SOM006,2008-03-03,3,2,0,5.5
TOT21,PAKB14,2008-03-16,19,2,0,7
TOT22,SOM007,2008-05-01,11.5,7.5,0,0
TOT23,PAKB15,2008-05-14,16,5,2.5,9
TOT24,PAKB16,2008-06-14,1,0.5,0,0
TOT25,PAKB17,2008-07-28,9.5,3,1,3
TOT26,PAKB18,2008-08-12,18.5,2.5,0,2
TOT27,PAKB19,2008-08-20,9,0,0,5
TOT28,PAKB20,2008-08-27,0,0,0,4
TOT29,PAKB21,2008-08-30,4.5,0,0,4
TOT30,PAKB22,2008-08-30,8.5,5.5,2.5,5
TOT31,PAKB23,2008-09-02,5,0,0,0.5
TOT32,PAKB24,2008-09-04,6,0,0,3.5
TOT33,PAKB25,2008-09-05,8.5,6,3.5,0
TOT34,PAKB26,2008-09-08,20,15.5,6.5,19.5
TOT35,PAKB27,2008-09-12,13.5,4,2,14
TOT36,PAKB28,2008-09-17,5.5,0,0,3
TOT37,PAKB29,2008-09-30,6,0,0,7
TOT38,PAKB30,2008-10-03,3,3,1,5
TOT39,PAKB31,2008-10-03,19,10.5,3,0
TOT40,PAKB32,2008-10-09,7,5,2.5,2
TOT41,PAKB33,2008-10-11,4.5,0,0,2
TOT42,PAKB34,2008-10-16,5.5,2,0,4
TOT43,PAKB35,2008-10-23,9.5,8.5,7,8.5
TOT44,PAKB36,2008-10-26,19,2,1.5,2
TOT45,PAKB37,2008-10-31,14.5,10.5,0,0
TOT46,PAKB38,2008-10-31,8,1,0,16
TOT47,PAKB39,2008-11-07,13.5,8.5,0,17
TOT48,PAKB40,2008-11-14,12,7.5,0,2
TOT49,PAKB41,2008-11-19,4.5,1.5,0,7
TOT50,PAKB42,2008-11-22,5,0.5,0,6
TOT51,PAKB43,2008-11-27,5,0,0,0
TOT52,PAKB44,2008-11-29,2.5,1.5,0,2.5
TOT53,PAKB45,2008-12-05,3.5,0,0,2
TOT54,PAKB46,2008-12-11,6.5,3.5,0,0
TOT55,PAKB47,2008-12-15,2.5,1.5,0,3
TOT56,PAKB48,2008-12-22,3,0,0,5
TOT57,PAKB49,2008-12-22,3,0,0,4
TOT58,PAKB50,2009-01-01,4,0,0,1.5
TOT59,PAKB51,2009-01-02,3.5,0,0,4
TOT60,PAKOB1,2009-01-23,11,10,1,1
TOT61,PAKOB2,2009-01-23,7.5,7.5,3.5,2
TOT62,PAKOB3,2009-02-14,30,5,1,13
TOT63,PAKOB4,2009-02-16,24.5,0,0,5
TOT64,PAKOB5,2009-03-01,7.5,0,0,2
TOT65,PAKOB6,2009-03-12,20,0,0,29.5
TOT66,PAKOB7,2009-03-15,4,0,0,3
TOT67,PAKOB8,2009-03-25,7,0,0,5
TOT68,PAKOB9,2009-03-26,4.5,2.5,0,5
TOT69,PAKOB10,2009-04-01,12,5,3,10
TOT70,PAKOB11,2009-04-04,14,10.5,4,1
TOT71,PAKOB12,2009-04-08,3.5,0,0,3.5
TOT72,PAKOB13,2009-04-19,4,4,0,4
TOT73,PAKOB14,2009-04-29,5.5,2,0,4
TOT74,PAKOB15,2009-05-09,15.5,2,0,8.5
TOT75,PAKOB16,2009-05-12,7,0,0,4
TOT76,PAKOB17,2009-05-16,32.5,9,0,2
TOT77,PAKOB18,2009-06-14,4,1.5,0,0
TOT78,PAKOB19,2009-06-18,15,4,0,10
TOT79,PAKOB20,2009-06-23,5.5,0,0,7
TOT80,PAKOB21,2009-06-23,71.5,34,10,27
TOT81,PAKOB22,2009-07-03,2.5,2.5,0,0
TOT82,PAKOB23,2009-07-03,13.5,0,0,31
TOT83,PAKOB24,2009-07-07,16,0,0,10
TOT84,PAKOB25,2009-07-08,9,0,0,8.5
TOT85,PAKOB26,2009-07-08,37.5,0,0,1
TOT86,PAKOB27,2009-07-10,4,0,0,3
TOT87,PAKOB28,2009-07-17,5.5,0,0,5
